ID,Name,Lat,Lon
72698,Portland International  Airport,45.5833,-122.6
72712,Caribou Municipal Airport,46.8667,-68.0167
72713,Presque Isle,46.6833,-68.05
72734,Sault Ste. Marie Muni,46.4833,-84.35
72741,Park Falls,45.9333,-90.45
72743,Marquette,46.5333,-87.55
72744,Hancock Houghton Cty. Memo,47.1667,-88.4833
72745,Duluth International Airport,46.8333,-92.2167
72747,Falls International Airport,48.5667,-93.4
72750,Pequot Lake,46.6,-94.3167
72753,Hector International Airport,46.9333,-96.8167
72755,Bemidji,47.5,-94.9333
72756,Warroad,48.9333,-95.35
72758,Devils Lake,48.1,-98.8667
72764,Bismarck Municipal Airport,46.7833,-100.75
72765,Roseglen,47.75,-101.8333
72767,Sloulin Field International  Airport,48.1833,-103.65
72768,Glasgow International Airport,48.2167,-106.6167
72772,Helena Regional Airport,46.6,-111.9667
72773,Missoula International Airport,46.9167,-114.1
72775,Great Falls International,47.4667,-111.3833
72776,"Great Falls, Mt.",47.4667,-111.3833
72777,Havre City-County Airport,48.55,-109.7667
72779,Glacier Park International  Airport,48.3,-114.2667
72781,Yakima Air Terminal,46.5667,-120.5333
72783,Lewiston Nez Perce Co Airport,46.3667,-117.0167
72784,Hanford,46.5667,-119.6
72785,Spokane International Airport,47.6167,-117.5333
72786,"Spokane, Wa.",47.6833,-117.6333
72788,"Walla Walla, Wa",46.0333,-118.3333
72791,Port Of Astoria Airport,46.15,-123.8833
72792,Olympia Airport,46.9667,-122.9
72793,Seattle-Tacoma Airport,47.45,-122.3167
72797,Quillayute State Airport,47.9333,-124.5667
74001,"Redstone Arsenal, Al.",34.6,-86.6333
74002,Aberdeen Proving Grounds,39.5,-76.5667
74003,Dugway Proving Grounds,40.1667,-112.9333
74004,Yuma Proving Grounds Az.,32.5,-114
74201,Port Angeles Coast Guard Air Station,48.1333,-123.4
74206,Tacoma / McChord Air Force Base,47.15,-122.4833
74207,Fort Lewis / Gray U. S. Army Airfield,47.1167,-122.55
